client_id,district_id,Sex,Birth date
1,18,Male,1998-02-13
2,1,Female,1968-02-04
3,1,Male,1967-12-09
4,5,Male,1979-12-01
5,5,Male,1987-09-03
6,12,Female,1942-09-22
7,15,Male,1952-01-25
8,51,Male,1965-04-21
9,60,Female,1958-10-16
10,57,Male,1966-05-01
11,57,Female,1977-10-22
12,40,Female,2004-02-20
13,54,Male,2001-07-29
14,76,Female,1969-08-22
15,21,Female,1945-10-28
16,21,Male,1942-02-25
17,76,Male,1957-10-13
18,76,Male,1958-06-05
19,47,Female,1965-12-28
20,46,Female,2002-01-04
21,12,Male,1979-12-29
22,1,Male,1996-12-11
23,1,Male,1996-05-29
24,43,Male,1966-09-29
25,21,Male,1966-06-23
26,74,Female,1996-06-20
27,54,Female,1993-05-26
28,1,Male,1968-09-29
29,30,Male,1978-11-11
30,74,Male,1984-12-09
31,68,Male,1985-02-09
32,52,Female,2003-07-28
33,73,Female,1976-02-04
36,7,Male,2005-09-17
37,7,Female,1993-08-10
38,36,Male,2000-09-23
39,68,Male,1991-01-25
40,5,Female,1984-03-22
41,22,Male,1991-08-27
42,68,Male,1958-08-17
43,75,Female,1943-10-28
44,38,Male,2004-03-11
45,20,Female,1975-08-26
46,19,Female,1967-03-30
47,76,Female,1957-07-14
48,16,Male,1963-02-09
49,72,Male,1986-07-11
50,39,Female,2005-09-30
51,36,Female,2007-02-02
52,32,Female,1947-12-12
53,64,Male,2000-05-05
55,45,Female,1975-11-18
56,21,Male,1983-03-31
57,21,Male,1989-02-17
58,1,Male,1954-06-29
59,1,Female,1980-02-18
60,67,Male,2003-02-19
61,16,Female,1975-10-06
62,77,Female,1955-12-08
63,4,Female,1982-06-04
64,20,Female,1949-04-22
65,50,Male,1970-07-27
66,1,Female,1979-01-10
67,29,Male,1960-01-11
68,43,Female,1969-12-14
70,70,Female,1948-12-22
71,70,Female,1954-04-06
72,47,Male,1946-01-13
73,22,Female,1947-02-20
74,22,Female,1952-09-26
75,64,Male,2004-11-19
76,36,Male,1994-12-01
77,1,Female,1983-04-18
78,16,Male,1971-08-13
79,37,Female,1996-05-10
80,64,Male,2006-04-25
81,8,Male,1999-04-29
82,8,Male,2007-02-25
83,1,Male,2006-02-25
84,1,Male,2002-05-05
85,1,Male,1984-08-27
86,1,Female,1996-09-20
87,72,Male,1974-01-17
89,1,Male,1978-07-05
90,52,Male,1998-08-17
91,63,Male,1963-08-07
92,74,Female,1993-08-12
93,3,Female,1948-02-16
94,43,Male,1970-09-09
95,43,Male,1979-10-03
96,74,Male,1995-03-01
97,26,Female,1988-11-28
98,33,Female,2000-07-04
99,33,Female,1996-01-26
100,44,Male,1969-10-11
101,68,Male,1966-01-23
102,74,Female,1985-11-10
103,74,Male,1978-07-11
105,31,Female,2003-05-26
106,68,Female,1996-03-01
107,1,Male,1995-06-23
108,17,Male,1986-09-13
110,2,Male,1994-06-13
112,1,Male,1958-01-25
113,1,Male,1967-10-15
114,74,Female,1996-08-24
115,74,Female,1992-12-24
116,74,Female,1965-01-28
117,74,Female,1963-11-20
118,55,Male,1945-07-19
119,55,Female,1949-04-28
